	news_collected_time	news_title
39	2014-11-18	Israel: 'We will respond with a heavy hand' after synagogue attack kills 4
40	2014-11-18	Charles Manson reluctantly applies for marriage license to wed girlfriend
41	2014-11-18	Supporters of oil pipeline scramble for last vote
42	2014-11-18	Police Storm Ashram in India in Search of Guru
43	2014-11-18	Modi, Abbott agree on closer cooperation on security and trade
44	2014-11-18	Keystone Vote May Be Too Late to Help Democrat Hold Senate Seat
45	2014-11-18	Deaths caused by terrorism rises by 61 percent, report shows
46	2014-11-18	Truck bomb hits foreign base in Afghan capital, kills two
47	2014-11-18	Toyota bets on hydrogen fuel cell technology
48	2014-11-18	Followers of wanted Indian guru hold out against police
49	2014-11-18	Uber exec proposed publishing journalists' personal secrets to fight bad press
50	2014-11-18	Prime Minister Narendra Modi in Australia Parliament.
51	2014-11-18	Can a Keystone pipeline vote help Mary Landrieu?
52	2014-11-18	Small plane crashes into home near Chicago's Midway airport (PHOTOS)
53	2014-11-18	Haryana police storm godman Rampal's ashram, main gate damaged: Report
54	2014-11-18	Child Homelessness Reaches Record High
55	2014-11-18	Attackers storm Jerusalem synagogue, killing 4 worshippers
56	2014-11-18	Deaths Linked to Terrorism Are Up 60 Percent, Study Finds
57	2014-11-18	Russia sees no chance of breakthrough on Ukraine in German minister's visit
58	2014-11-18	Small Plane Crashes Into Home Near Chicago's Midway Airport
59	2014-11-18	Suicide bombers attack foreigner compound in Afghan capital, killing 2
60	2014-11-18	Japan's Abe Calls Early Election to Save His Grand Economic Plan
61	2014-11-18	At Least 6 Killed at Jerusalem Synagogue
62	2014-11-18	Global terrorism on rise: Fivefold increase in terror-related deaths since 2000 — RT News
63	2014-11-18	Small Plane Crashes Into Chicago Home
64	2014-11-18	Home Depot profit beats estimates as US job market improves
65	2014-11-18	Indian PM jokingly accuses Tony Abbott of 'shirt-fronting' Australia
66	2014-11-18	As Missouri awaits decision on police shooting, National Guard called in
67	2014-11-18	'Terror' Deaths Up by 37%: Study
68	2014-11-18	Uber rides into new PR storm over digging dirt on hostile press
69	2014-11-18	State Board Mulls New History Textbooks « CBS Dallas / Fort Worth
70	2014-11-18	Cupich set to become 9th archbishop of Chicago
71	2014-11-18	Charles Manson gets marriage license
72	2014-11-18	Small plane crashes into Chicago home, police say
73	2014-11-18	Supporters Of Keystone Oil Pipeline Scramble For Last Vote - NewsOn6.com - Tulsa, OK - News, Weather, Video and Sports - KOTV.com
74	2014-11-18	Lake-Effect Snow Pummels New York, Closes Thruway
75	2014-11-18	Uber Exec Suggests Spending $1 Million To 'Dig Up Dirt' On Journalists: BuzzFeed
76	2014-11-18	Japan leads world markets higher on stimulus hopes
77	2014-11-18	Mary Landrieu scrambles for 60th vote for Keystone
78	2014-11-18	Plane crashes into Chicago home, but elderly couple survives
79	2014-11-18	Bernie Sanders Has Found His Grassroots Support Base: The Fake News Audience
80	2014-11-18	House Democrats lash out at Nancy Pelosi
81	2014-11-18	Lives lost to terrorism up by 61%, with 18000 dead
82	2014-11-18	What explains the continuing fascination with Charles Manson?
83	2014-11-18	NFL suspends Vikings RB Adrian Peterson without pay for remainder of the ...
84	2014-11-18	Obama orders review of hostage policy - World News
85	2014-11-18	NM Rep. Ben Ray Luján tapped to head Democratic campaign committee
86	2014-11-18	US Producer Prices Rise 0.2 Percent in October
87	2014-11-18	Upholding the Sanctity of Marriage for Charles Manson
88	2014-11-18	NFL suspends Adrian Peterson without pay for at least rest of regular season
89	2014-11-18	Small Cargo Plane Crashes Into Chicago Home
90	2014-11-18	Lake-effect snow snarls Buffalo flights in wake of storm
91	2014-11-18	Uber Just Stuck a Knife in the Republican Party's Heart
92	2014-11-18	Jose Canseco says he's selling detached finger and digit-blasting gun
93	2014-11-18	Jennifer Lawrence and the stars of 'The Hunger Games: Mockingjay Part 1' stun ...
94	2014-11-18	Disappointment Becomes Global-Growth Norm as Japan Contracts
95	2014-11-18	America's Disastrous History of Pipeline Accidents Shows Why the Keystone Vote Matters
96	2014-11-18	AP Exclusive: Charles Manson Plans Prison Wedding
97	2014-11-18	Peterson Suspended Without Pay for Rest of Season by NFL
98	2014-11-18	And the 2014 Word of the Year Is…
99	2014-11-18	Former Slugger Jose Canseco Plans To Put His Finger On EBay
100	2014-11-18	House Democrats re-elect Pelosi as minority leader
101	2014-11-18	Keystone Supporters Hustle to Get 60 Yeses for Senate Vote on Tuesday
102	2014-11-18	Chicago plane crashes into home near Midway; 1 dead
103	2014-11-18	Oxford names 'vape' 2014 Word of the Year
104	2014-11-18	Uber Responds to BuzzFeed Report on Journalism Smear Campaign
105	2014-11-18	Obama Orders Review Of U.S. Hostage Policy
106	2014-11-18	Jerusalem Attack: A Look at the Victims
107	2014-11-18	AP Exclusive: Charles Manson gets marriage license
108	2014-11-18	Tie Keystone approval to bigger environmental goals
109	2014-11-18	Myers: With Adrian Peterson ban, NFL commish gets it right
110	2014-11-18	Uber's Plan to Win Over the Press Backfires
111	2014-11-18	President Orders Review of US Hostage Policies
112	2014-11-18	Israel's 'Lone Wolf' Attacks Show Weapons Threat Hard to Track
113	2014-11-18	GOP Vows to Pass Keystone Later If Bill Fails Now
114	2014-11-18	Uber Exec in Hot Water After Suggesting Smear Campaign on Journalists
115	2014-11-18	Where does Adrian Peterson's NFL career go from here?
116	2014-11-18	Plane misses elderly couple by '8 inches' after crashing into home near Midway
117	2014-11-18	Obama orders review of US policy on hostages
118	2014-11-18	Oxford Dictionaries' 2014 Word of the Year is 'vape'
119	2014-11-18	The new PEANUTS trailer is here And it's everything we ever wanted!!!
120	2014-11-18	Israel's 'Lone Wolf' Attacks Show Weapons Threat Hard to Track
121	2014-11-18	Louisiana's Landrieu Silent at Almost 70% of Energy Hearings
122	2014-11-18	Obama order could protect thousands of illegal immigrants in Md. Va., report says
123	2014-11-18	Browns waive running back Ben Tate
124	2014-11-18	Bob Marley Named As Face of Global Marijuana Brand
125	2014-11-18	Keystone backers scramble for last vote on bill, Boehner warns Obama against veto
126	2014-11-18	NFL suspends Adrian Peterson for remainder of 2014 season
127	2014-11-18	House Democrats Re-elect Pelosi as Minority Leader
128	2014-11-18	Oxford chooses 'vape' as its 2014 Word of the Year
129	2014-11-18	Obama Orders Review of Hostage Policy
130	2014-11-18	Four rabbis killed in Jerusalem synagogue terror attack
131	2014-11-18	Keystone XL chances dim in Senate as King says 'no'
132	2014-11-18	What Charles Manson's Future Mother-in-Law Thinks About Wedding
133	2014-11-18	"Tech world calls out Uber for ""thuggish"" behavior"
134	2014-11-18	Liberals oppose Himes in House Democratic race
135	2014-11-18	President Obama Orders Full Review of Hostage Negotiation Policy
136	2014-11-18	Charles Manson Set to Tie the Knot With 26-Year-Old Woman
137	2014-11-18	Toyota aims to replicate Prius success with fuel cell Mirai
138	2014-11-18	Official Bob Marley Marijuana Is Coming
139	2014-11-18	Three Americans Among Four Rabbis 'Slaughtered' in Jerusalem Synagogue
140	2014-11-18	Senator Landrieu's Hail Mary goes beyond Keystone XL pipeline
141	2014-11-18	Charles Manson fan insists she will marry the 80-year-old murderer
142	2014-11-18	Uber Draws Fire After Executive Suggests Investigating Reporters
143	2014-11-18	"Earnest: ""Old"" Gruber Videos ""Are Not Views That Are Shared By Anybody At The White House"""
144	2014-11-18	Crime and Inept Punishment: Sheriff Roger Goodell Is Barney Fife Once More
145	2014-11-18	Vape is Oxford Dictionaries' Word Of The Year
146	2014-11-18	Putin says US wants to subdue Russia
147	2014-11-18	Top Republican floats new attack plan for Obama's immigration action
148	2014-11-18	Dear relatives not in SoCal: We really don't miss your crazy snowstorms
149	2014-11-18	Fla sees big rise of residents in US illegally
150	2014-11-18	Uber can't sweep exec's revenge campaign under the car mat
151	2014-11-18	The NFL Suspends Adrian Peterson, and the Sponsors Stay Quiet
152	2014-11-18	Lake-effect snow pummels New York, closes Thruway
153	2014-11-18	East Coast popular for immigrants in US illegally
154	2014-11-18	'Vape' is English Word of the Year for 2014, Oxford Says
155	2014-11-18	National Guard coming to help dig out from colossal effect storm
156	2014-11-18	Pilot dies after small plane crashes into Chicago home
157	2014-11-18	Obama will not change policy against paying ransom for hostages
158	2014-11-18	Winter Whack: Nation Faces Arctic Chill; Almost 6 Feet of Snow Forecast Near Buffalo
159	2014-11-18	Democrats Re-Elect Nancy Pelosi As House Minority Leader Amid Criticism Over 2014 Midterm Elections
160	2014-11-18	Can Uber afford to have this many enemies?
161	2014-11-18	Synagogue attack: Netanyahu vow in 'battle for Jerusalem'
162	2014-11-18	Vape is word of the year for 2014
163	2014-11-18	Louisiana Senate Seat Is Real Reward in Keystone Pipeline Vote
164	2014-11-18	Chicago plane crashes into home near Midway, pilot killed
165	2014-11-18	NY agency aids more than 100 snow-stranded drivers
166	2014-11-18	For Obama, Executive Action Will Not Be Limited to Immigration
167	2014-11-18	Vape named as Oxford English Dictionary's 2014 word of the year
168	2014-11-18	Gruber frequently visited White House
169	2014-11-18	Obama orders review of US hostage policy
170	2014-11-18	Uber CEO Apologies For Exec's 'Terrible' Suggestion That The Company ...
171	2014-11-18	With beheading deaths of Americans, Obama orders review of US response to hostage takings
172	2014-11-18	House Democratic Leaders Hold Caucus Meeting To Elect Leaders For 114th Congress
173	2014-11-18	U-Va. student Hannah Graham's death the result of 'homicidal violence,' officials ...
174	2014-11-18	Adrian Peterson will not return this weekend against Green Bay [updated]
175	2014-11-18	Palestinians kill five in Jerusalem synagogue attack
176	2014-11-18	Keystone's Big Senate Test: A Search For One Vote
177	2014-11-18	Obama orders review of US hostage policy
178	2014-11-18	Uber's vast trove of customer data is ripe for abuse
179	2014-11-18	Senate Narrowly Defeats Keystone XL Bill
180	2014-11-18	Oxford Dictionaries' word of 2014: Have you ever heard of it? - One News
181	2014-11-18	The Short List: Uber wants to silence journalists; Keystone bill fails; Peterson ...
182	2014-11-18	Keystone Vote Falls Short in Senate
183	2014-11-18	Jerusalem synagogue attack: 'Lone wolf' pattern seen in deadly assault
184	2014-11-18	Western New York Snow Storm Could Set Records
185	2014-11-18	Obama orders review of US hostage policy
186	2014-11-18	"Tracy Morgan Still Struggling but ""Fighting to Get Better"" After Brain Injury ..."
187	2014-11-18	Will Kim Jong-un face mass crimes prosecution at The Hague? (+video)
188	2014-11-18	Keystone Pipeline Fails to Get Through Senate
189	2014-11-18	Tech lobby to keep tabs on NSA reform votes
190	2014-11-18	Lawyer: Tracy Morgan Still Struggling With Severe Brain Injury
191	2014-11-18	Quinn: Uber grapples with its aggressive image
192	2014-11-18	Senate Narrowly Defeats Keystone XL Pipeline
193	2014-11-18	Senate Republicans Block Sweeping Overhaul of NSA Program
194	2014-11-18	Obama orders review of hostage policy
195	2014-11-18	Sarah Lacy on Uber: I'm doing everything I can to keep my family safe
196	2014-11-18	Police nab man sought after fatal NYC subway shove
197	2014-11-18	UN panel calls for N.Korea referral to international court
198	2014-11-18	Senate defeats Keystone XL pipeline
199	2014-11-18	Middle East|Jewish Victims, All From One Jerusalem Street, Were a ...
200	2014-11-18	Obama orders review of the policy on terrorist-related hostage cases
201	2014-11-18	150 cars snowbound in early winter storm
202	2014-11-18	Uber's plot to spy on reporter is latest controversy
203	2014-11-18	UN Rights Committee Urges Court Referral for North Korea
204	2014-11-18	Death of Virginia college student ruled a homicide
205	2014-11-18	After Jerusalem attack, Netanyahu hopes 'PR porn' will win support abroad - Diplomacy and Defense Israel News
206	2014-11-18	In all 50 states, it's below freezing in at least one spot
207	2014-11-18	Uber CEO Apologizes For Exec's 'Terrible' Suggestion That The Company Investigate Journalists
208	2014-11-18	United Nations Urges North Korea Prosecutions
209	2014-11-18	Stupidity reconsidered
210	2014-11-18	Ryan to chair tax panel, a possible 2016 platform
211	2014-11-18	Senate fails to advance legislation on NSA reform
212	2014-11-18	Uber executive stirs up privacy controversy
213	2014-11-18	UVA student Hannah Graham died from 'homicidal violence': medical examiner
214	2014-11-18	Police nab man sought after fatal NYC subway shove
215	2014-11-18	Ryan to Chair Tax Panel, a Possible 2016 Platform
216	2014-11-18	In latest College Football Playoff rankings, Alabama rolls straight to the No. 1 spot
217	2014-11-18	Senate Fails to Advance NSA Data Collection Overhaul Legislation
218	2014-11-18	Storm blamed for at least 4 deaths in upstate New York
219	2014-11-18	Tracy Morgan Still Battling With Brain Injury
220	2014-11-18	UN calls for probe of North Korea 'crimes against humanity'
221	2014-11-18	Police question man in subway shoving death
222	2014-11-18	Keystone Vote Unlikely to Change Odds for Mary Landrieu
223	2014-11-18	Senate Republicans block bill: NSA will continue monitoring your calls
224	2014-11-18	TV host Janice Dickinson latest Cosby accuser
225	2014-11-18	Lawyer: Comedian Tracy Morgan Suffered Traumatic Brain Injury In NJ Tpke Crash
226	2014-11-18	North Korea: UN moves closer to ICC human rights probe
227	2014-11-18	Defective Takata Airbag Grows Into Global Problem for Manufacturer
228	2014-11-18	Report: Va. student's death was homicide
229	2014-11-18	Winter Whack: Nation Faces Arctic Chill; 6 Feet of Snow Hit Buffalo Area
230	2014-11-18	Fail Mary: Senate rejects Keystone bill
231	2014-11-18	Palestinians kill five in Jerusalem synagogue attack
232	2014-11-18	Attorney says actor Tracy Morgan struggling after crash: report
233	2014-11-18	Court clears way for gay marriage in South Carolina
234	2014-11-18	Subway Motorman Describes Deadly Train Push
235	2014-11-18	Federal highway safety agency demands recall of cars with Takata air bags
236	2014-11-18	North Korea reacts angrily after UN votes to probe 'crimes against humanity'
237	2014-11-18	Early winter pummels much of country, strands motorists, emergency vehicles
238	2014-11-18	Palestinians kill five in Jerusalem synagogue attack
239	2014-11-18	Attorney says actor Tracy Morgan struggling after crash -report
240	2014-11-18	UPDATE 3-US auto regulator seeks nationwide recall of Takata air bags
241	2014-11-18	Death of Virginia college student ruled a homicide
242	2014-11-18	Adrian Peterson May Be Suspended, But He's Unlikely To Lose Any Pay
243	2014-11-19	Early winter pummels much of country, strands motorists, emergency vehicles
244	2014-11-19	At the site of Jerusalem terror attack, no calls for revenge, just grief
245	2014-11-19	Tracy Morgan Sustained 'A Traumatic Brain Injury' In Crash, His Lawyer Said
246	2014-11-19	UN push against North Korea on rights moves ahead
247	2014-11-19	Police Arrest Man in Fatal NYC Subway Shove
248	2014-11-19	Regulators Call for Takata Airbag Recall to Be Extended Nationwide
249	2014-11-19	Chris Hemsworth Named People's Sexiest Man Alive 2014
250	2014-11-19	Could Obama cut deal on Keystone pipeline? Don't rule it out
251	2014-11-19	Jungle Janice: I was a Cosby victim
252	2014-11-19	UN calls for North Korea's referral to international court
253	2014-11-19	PEOPLE names Chris Hemsworth 'Sexiest Man Alive'
254	2014-11-19	AP source: Billy Butler and A's reach 3-year deal - WLTZ 38
255	2014-11-19	Chris Hemsworth a Marvel as People's 'Sexiest Man Alive' (VIDEO)
256	2014-11-19	UN Advocates Prosecuting North Korea for Gross Rights Abuses
257	2014-11-19	US auto regulator seeks nationwide recall of Takata air bags
258	2014-11-19	Bryant, Lakers earn second win
259	2014-11-19	Jerusalem terror attack 'strikes at soul' of Jews worldwide
260	2014-11-19	Missouri executes Leon Taylor for 1994 killing
261	2014-11-19	Police arrest man in fatal NYC subway shove
262	2014-11-19	Behind the silent reaction of the Palestinian street - Diplomacy and Defense Israel News
263	2014-11-19	Missouri Executes Leon Taylor For 1994 Slaying Of Gas Station Attendant
264	2014-11-19	States with the most undocumented immigrants
265	2014-11-19	Chris Hemsworth named People's 'Sexiest Man Alive'; world reacts on social media
266	2014-11-19	Lawyer says Tracy Morgan suffered severe brain injury in crash
267	2014-11-19	Snowstorm, frigid temperatures whack over half of the US, more coming
268	2014-11-19	Despite the terror, we immigrants to Israel would never go back - Rabbis' Round Table Israel News
269	2014-11-19	Libertarian Champion Rand Paul Helped Kill NSA Reform Bill
270	2014-11-19	"This hunk is ""Sexiest Man Alive"" for 2014"
271	2014-11-19	Ruth Marcus: A slippery slope on immigration
272	2014-11-19	North Korea human rights practices challenged in UN
273	2014-11-19	Jodhpur youth accuses Rampal of giving human sacrifice
274	2014-11-19	NFL suspends Peterson for at least rest of season
275	2014-11-19	Jerusalem ramps up security after deadly synagogue attack
276	2014-11-19	Some in House reject GOP warning against shutdown
277	2014-11-19	North Korea: UN moves closer to ICC human rights probe
278	2014-11-19	Second Frenchman likely on Islamic State beheading video: government spokesman
279	2014-11-19	Man Charged in Subway Death Allegedly Pushed Another Rider
280	2014-11-19	India police say 4 bodies of women found in ashram
281	2014-11-19	Obama Condemns 'Horrific Attack' on Jerusalem Synagogue
282	2014-11-19	Missouri executes Leon Taylor for 1994 murder
283	2014-11-19	UN Committee Urges Court Action Against N. Korea
284	2014-11-19	States with the most undocumented immigrants
285	2014-11-19	Six dead at Rampal's Hisar ashram, godman charged with sedition: Haryana DGP
286	2014-11-19	Police arrest man in fatal NYC subway shove
287	2014-11-19	Missouri executes inmate for 1994 murder during robbery
288	2014-11-19	Second Frenchman likely on IS beheading video – government spokesman
289	2014-11-19	UN panel calls for North Korea referral to international court
290	2014-11-19	Some in House Reject GOP Warning Against Shutdown
291	2014-11-19	Six dead in Hisar: Is Sant Rampal any better than a hostage-taking terrorist?
292	2014-11-19	Chris Hemsworth named world's sexiest man by People magazine
293	2014-11-19	Missouri executes Leon Taylor for killing a suburban Kansas City gas station attendant in 1994
294	2014-11-19	Second French militant seen in IS beheading video
295	2014-11-19	Six Dead, Nearly 200 Injured Amid Clashes at Indian Ashram
296	2014-11-19	Buffalo, New York, Set For More Snow; Thaw Expected By Weekend
297	2014-11-19	Russia urges Kiev to talk directly to separatists
298	2014-11-19	2nd Frenchman seen in ISIS beheading video, president says
299	2014-11-19	GOP vows replay after Keystone pipeline defeat
300	2014-11-19	Islamic State: Second French jihadist seen in video
301	2014-11-19	Missouri Executes Leon Taylor for 1994 Murder
302	2014-11-19	5 Things to Know This Morning
303	2014-11-19	Why Republicans Think They Can't Lose a Showdown with Obama
304	2014-11-19	Senate Blocks Vote on Curbing NSA's Bulk Data Collection Program
305	2014-11-19	Putin says relations with US must be based on equality
306	2014-11-19	Jerusalem Attack Shakes Israel
307	2014-11-19	France Identifies 2nd French Citizen in Islamic State Video
308	2014-11-19	Chris Hemsworth named 'Sexiest Man Alive'
309	2014-11-19	Missouri Executes Death Row Inmate Leon Taylor for 1994 Killing
310	2014-11-19	Erick Erickson's shutdown fantasy: Have GOP hurt people, then lie about it!
311	2014-11-19	Suicide car bomb kills five in Iraqi Kurdish capital
312	2014-11-19	At least 6 die as snow, cold pummels Northeast
313	2014-11-19	Israel Demolishes East Jerusalem Home of Palestinian Behind Car Attack
314	2014-11-19	Netflix postpones Cosby show amidst sexual assualt allegations
315	2014-11-19	Second Frenchman Is Identified in ISIS Video of Peter Kassig
316	2014-11-19	Chris Hemsworth named People's 'Sexiest Man Alive'
317	2014-11-19	WhatsApp Moves To Protect Messages From Snoops
318	2014-11-19	War zone Hisar: 6 dead in violent clashes, Rampal's aide held; but where's the ...
319	2014-11-19	Senate Republicans block bill: NSA will continue monitoring your calls (+video)
320	2014-11-19	Israelis, Palestinians look to personal safety in holy city on edge
321	2014-11-19	Accomplice cleared as Missouri execution witness, doesn't come
322	2014-11-19	WhatsApp Moves To Protect Messages From Snoops
323	2014-11-19	Miss Honduras, sister, found shot to death
324	2014-11-19	Missouri governor denies clemency for Leon Taylor
325	2014-11-19	Snow Emergency: Five Dead, 100+ Trapped in Monster Winter Storm
326	2014-11-19	Republicans block overhaul of NSA surveillance reform
327	2014-11-19	Rabbi killed in Jerusalem had deep Boston connections
328	2014-11-19	Miss Honduras 2014 found dead and buried with sister, police say
329	2014-11-19	Presented by BlueCross BlueShield of Illinois
330	2014-11-19	Fact check: Obama's immigration amnesia
331	2014-11-19	Obama's Executive Order on Immigration Is Unlikely to Include Health Benefits
332	2014-11-19	Analysis: Can Bloodshed Be Stopped After Synagogue Attack?
333	2014-11-19	Islamic State execution video includes two French jihadis, France confirms
334	2014-11-19	Chris Hemsworth has hammerlock on People's 'Sexiest Man Alive' title
335	2014-11-19	Cecily Strong Will Perform at the White House
336	2014-11-19	Zookeeper seriously injured by rhino at Whipsnade Zoo
337	2014-11-19	Cecily Strong to headline White House Correspondents' dinner
338	2014-11-19	Obama to unveil immigration plan Friday, visit Las Vegas: reports
339	2014-11-19	Conaway: Ready to work on next farm bill, immigration
340	2014-11-19	Honduran Beauty Queen and Her Sister Are Found Dead
341	2014-11-19	Today's six-pack: The sexiest man and the longest bus ride : News
342	2014-11-19	'SNL' star to perform at White House Correspondents' Dinner
343	2014-11-19	Meet Charles Manson's future wife
344	2014-11-19	Obama to unveil immigration plan Friday, visit Las Vegas: reports
345	2014-11-19	Honduras' Miss World contestant and sister found murdered
346	2014-11-19	Israel Demolishes Family Home of Palestinian Driver Who Killed 2 Pedestrians
347	2014-11-19	Clancy: Secret Service has 'fallen short' in mission
348	2014-11-19	Chris Hemsworth Named People Magazine's 'Sexiest Man Alive'
349	2014-11-19	Boyfriend confesses to killing Miss Honduras, sister, authorities say
350	2014-11-19	Republicans block overhaul of NSA surveillance reform
351	2014-11-19	Second Frenchman likely on IS beheading video: gov't spokesperson - Xinhua
352	2014-11-19	Secret Service chief: Morale suffering at agency
353	2014-11-19	Ninth execution in Missouri this year in what activists say was racially biased case
354	2014-11-19	NBC/WSJ Poll: Nearly Half Oppose Executive Action On Immigration
355	2014-11-19	Acting Secret Service director Joseph Clancy calls lapses 'devastating'
356	2014-11-19	Fight to rein in NSA will resume next year when Patriot Act is set to expire
357	2014-11-19	Israel Troops Demolish Palestinian Attacker's Home
358	2014-11-19	Meet the $325 million man: Giancarlo Stanton seals deal with Marlins
359	2014-11-19	Five dead in upstate NY snowstorm that could break 24-hour record
360	2014-11-19	Police: Two men arrested in deaths of Honduran beauty queen, her sister
361	2014-11-19	Tension in Jerusalem simmers one day after bloody attack on synagogue - National Israel News
362	2014-11-19	Will Giancarlo Stanton's historic contract ever impact Bryce Harper?
363	2014-11-19	Second Frenchman identified as ISIS thug wielding knife in Peter Kassig ...
364	2014-11-19	People mag names Hemsworth 'Sexiest Man Alive'
365	2014-11-19	Watch Surfers Catch Waves on Lake Erie in Snowstorm
366	2014-11-19	Obama to Announce Executive Action on Immigration Thursday
367	2014-11-19	Clancy Says Failures in US Secret Service Tarnish Reputation
368	2014-11-19	Kutcher weighs in on Uber exec controversy, slams press
369	2014-11-19	President Obama gets bipartisan gift: Ambassador approvals
370	2014-11-19	Judge hearing 'under God' pledge lawsuit
371	2014-11-19	Kabul's Green Village international zone under attack, gunfire heard
372	2014-11-19	Obama to Detail Immigration Plans in Address on Thursday
373	2014-11-19	#Snowvember: Buffalo buried under six feet of snow, with more falling
374	2014-11-19	Uber's Latest Scandal and Silicon Valley's Grown-Up Problem
375	2014-11-19	Your Picks for 'Sexiest Man Alive'
376	2014-11-19	Compound housing foreigners under attack in Kabul, police say
377	2014-11-19	Bill to reform NSA surveillance goes down in US Senate
378	2014-11-19	Snow Emergency: Six Dead, 100+ Trapped in Monster Winter Storm
379	2014-11-19	Honduras beauty queen Maria Jose Alvarado found dead
380	2014-11-19	Uber executive in New York allegedly used company's 'God View' tool to track ... The Post-Standard
381	2014-11-19	Ryan Gosling turned down People's Sexiest Man Alive: report
382	2014-11-19	'Devastating' Failures Lead Secret Service to Consider Raising White House ...
383	2014-11-19	Notebook: Hollande really needs to press his reset button
384	2014-11-19	Taliban attacks housing complex for foreigners in Afghanistan
385	2014-11-19	Miss World contestant found dead
386	2014-11-19	Rumors swirl that Natalie Morales, Willie Geist were fired from 'Today'
387	2014-11-19	Islamic State execution video: second Frenchman identified
388	2014-11-19	US: Single-Family Starts Up 4.2% While Overall Production Drops Slightly in ...
389	2014-11-19	Honduras' Miss World contestant Maria Jose Alvarado and her sister found murdered
390	2014-11-19	Senate fails to pass NSA reform bill
391	2014-11-19	Secret Service chief says training emphasized after security lapses
392	2014-11-19	Rumors swirl that Natalie Morales, Willie Geist were fired from 'Today'
393	2014-11-19	Obama to announce immigration executive action in prime time address Thursday
394	2014-11-19	Drivers Left to Cool Their Heels While Snow Piled Up Near Buffalo
395	2014-11-19	People mag names Hemsworth 'Sexiest Man Alive'
396	2014-11-19	Dollar, bond yields gain after Fed minutes
397	2014-11-19	NBC denies reports Natalie Morales, Willie Geist were fired: 'The rumors are ...
398	2014-11-19	What is driving French nationals to join Islamic State?
399	2014-11-19	"Iran says Vienna talks ""serious, intensive"" - Xinhua"
400	2014-11-19	Drone Captures Aerial View of Snow-Covered Buffalo Burbs
401	2014-11-19	Murdered Miss Honduras, Mayan beauty and aspiring diplomat
402	2014-11-19	Dollar reaches seven-year highs against yen
403	2014-11-19	Chris Hemsworth Named People Magazine's 'Sexiest Man Alive'
404	2014-11-19	Secret Service Arrests Man Outside White House
405	2014-11-19	Movie review: Lawrence is on fire, but 'Mockingjay' drags
406	2014-11-19	Stanton: Toughest decision of my life
407	2014-11-19	Buffalo area braces for another big snowstorm
408	2014-11-19	10 reasons why Chris Hemsworth is the 'Sexiest Man Alive'
409	2014-11-19	Natalie Morales, Willie Geist not fired from 'Today' show despite reports
410	2014-11-19	'The Hunger Games: Mockingjay Part 1' review: this is how a revolution dies
411	2014-11-19	President Obama to Announce Major Immigration Executive Action Thursday
