	rank	word	text	happs	stdDev
120	121	haha	haha	7.64	1.3815
121	122	kiss	kiss	7.64	1.7585
122	123	kitten	kitten	7.64	1.2898
123	124	miracle	miracle	7.64	1.8926
124	125	mom	mom	7.64	1.8709
125	126	sweet	sweet	7.64	1.0645
126	127	blessings	blessings	7.62	1.6274
127	128	bright	bright	7.62	1.1409
128	129	cutest	cutest	7.62	1.0859
129	130	entertaining	entertaining	7.62	1.0859
130	131	excited	excited	7.62	1.3981
131	132	excitement	excitement	7.62	1.6523
132	133	joke	joke	7.62	1.3981
133	134	millionaire	millionaire	7.62	2.1275
134	135	prize	prize	7.62	1.2103
135	136	succeeded	succeeded	7.62	1.1409
136	137	successfully	successfully	7.62	1.2599
137	138	winners	winners	7.62	1.5372
138	139	shines	shines	7.6	1.5944
139	140	awesome	awesome	7.6	1.5908
140	141	genius	genius	7.6	1.2454
141	142	achievement	achievement	7.58	1.4299
142	143	cake	cake	7.58	1.1082
143	144	cheers	cheers	7.58	1.4721
144	145	exciting	exciting	7.58	1.3415
145	146	goodness	goodness	7.58	1.3716
146	147	hug	hug	7.58	1.4721
147	148	income	income	7.58	1.6047
148	149	party	party	7.58	1.4581
149	150	puppy	puppy	7.58	1.4581
150	151	smiling	smiling	7.58	1.7034
151	152	song	song	7.58	1.3415
152	153	succeeding	succeeding	7.58	1.3415
153	154	tasty	tasty	7.58	1.1265
154	155	victories	victories	7.58	1.7623
155	156	achieved	achieved	7.56	1.3726
156	157	billion	billion	7.56	1.6679
157	158	cakes	cakes	7.56	1.4591
158	159	easier	easier	7.56	1.1457
159	160	flowers	flowers	7.56	1.4309
160	161	gifts	gifts	7.56	1.9395
161	162	gold	gold	7.56	1.1095
162	163	merry	merry	7.56	1.1457
163	164	families	families	7.54	1.2811
164	165	handsome	handsome	7.54	1.2488
165	166	lovers	lovers	7.54	1.2811
166	167	affection	affection	7.53	1.5289
167	168	candy	candy	7.52	1.4879
168	169	cute	cute	7.52	1.1993
169	170	diamond	diamond	7.52	1.7171
170	171	earnings	earnings	7.52	1.4177
171	172	interesting	interesting	7.52	1.1822
172	173	peacefully	peacefully	7.52	1.0544
173	174	praise	praise	7.52	1.4741
174	175	relaxing	relaxing	7.52	1.2162
175	176	roses	roses	7.52	1.2493
176	177	saturdays	saturdays	7.52	1.729
177	178	faithful	faithful	7.51	1.3248
178	179	heavens	heavens	7.51	1.7335
179	180	cherish	cherish	7.5	1.4743
180	181	comfort	comfort	7.5	1.1473
181	182	congrats	congrats	7.5	1.5419
182	183	cupcake	cupcake	7.5	1.7642
183	184	earn	earn	7.5	1.3439
184	185	extraordinary	extraordinary	7.5	1.374
185	186	glory	glory	7.5	1.6067
186	187	hilarious	hilarious	7.5	1.9821
187	188	moonlight	moonlight	7.5	1.359
188	189	optimistic	optimistic	7.5	1.3132
189	190	peaceful	peaceful	7.5	1.0926
190	191	romance	romance	7.5	1.4321
191	192	feast	feast	7.49	1.6473
192	193	attractive	attractive	7.48	0.9739
193	194	glad	glad	7.48	1.5151
194	195	grandma	grandma	7.48	1.5016
195	196	internet	internet	7.48	1.313
196	197	pleasant	pleasant	7.48	1.2162
197	198	profits	profits	7.48	1.3285
198	199	smart	smart	7.48	1.3738
199	200	x-mas	x-mas	7.48	1.821
200	201	babies	babies	7.46	1.5012
201	202	cheer	cheer	7.46	1.6807
202	203	courage	courage	7.46	1.1817
203	204	enthusiasm	enthusiasm	7.46	1.1287
204	205	honest	honest	7.46	1.1287
205	206	loyal	loyal	7.46	1.2488
206	207	opportunities	opportunities	7.46	1.0919
207	208	triumph	triumph	7.46	1.8318
208	209	wow	wow	7.46	1.4458
209	210	jewels	jewels	7.46	1.6153
210	211	forests	forests	7.45	1.332
211	212	apple	apple	7.44	1.2316
212	213	dreams	dreams	7.44	1.4165
213	214	fantasy	fantasy	7.44	1.6183
214	215	food	food	7.44	1.2149
215	216	honey	honey	7.44	1.5928
216	217	miracles	miracles	7.44	1.9395
217	218	sex	sex	7.44	1.6801
218	219	sing	sing	7.44	1.3426
219	220	starlight	starlight	7.44	1.4165
220	221	thankful	thankful	7.44	1.5005
221	222	wins	wins	7.44	1.2643
222	223	achieve	achieve	7.42	1.2304
223	224	adored	adored	7.42	1.4441
224	225	cash	cash	7.42	1.6671
225	226	dances	dances	7.42	1.295
226	227	gorgeous	gorgeous	7.42	1.9597
227	228	grandchildren	grandchildren	7.42	1.5131
228	229	incredible	incredible	7.42	1.3415
229	230	lunch	lunch	7.42	1.0897
230	231	mommy	mommy	7.42	1.7623
231	232	parties	parties	7.42	1.4441
232	233	perfect	perfect	7.42	1.7154
233	234	saturday	saturday	7.42	1.7154
234	235	surprise	surprise	7.42	1.5398
235	236	truth	truth	7.42	1.401
236	237	blessing	blessing	7.4	1.7379
237	238	creative	creative	7.4	1.1952
238	239	dinner	dinner	7.4	1.1429
239	240	kindness	kindness	7.4	1.088
240	241	pleased	pleased	7.4	1.1606
241	242	sexy	sexy	7.4	1.2289
242	243	strength	strength	7.4	1.1606
243	244	thank	thank	7.4	1.1249
244	245	thanks	thanks	7.4	1.5119
245	246	thanksgiving	thanksgiving	7.4	1.4142
246	247	treasure	treasure	7.4	1.7143
247	248	valentine	valentine	7.4	1.7023
248	249	riches	riches	7.39	1.6685
249	250	awarded	awarded	7.38	1.1586
250	251	fabulous	fabulous	7.38	1.5372
251	252	grandfather	grandfather	7.38	1.427
252	253	heavenly	heavenly	7.38	1.8282
253	254	hope	hope	7.38	1.3076
254	255	kids	kids	7.38	1.6022
255	256	magical	magical	7.38	1.2919
256	257	million	million	7.38	1.427
257	258	nice	nice	7.38	1.5104
258	259	sundays	sundays	7.38	1.4553
259	260	wealth	wealth	7.38	1.2271
260	261	fantasies	fantasies	7.36	1.3898
261	262	cares	cares	7.36	1.3962
262	263	dance	dance	7.36	1.4394
263	264	daughters	daughters	7.36	1.2249
264	265	favorable	favorable	7.36	1.5086
265	266	friend's	friend's	7.36	1.6383
266	267	generosity	generosity	7.36	1.2739
267	268	grateful	grateful	7.36	1.4675
268	269	inspired	inspired	7.36	1.1021
269	270	mothers	mothers	7.36	1.4675
270	271	parents	parents	7.36	1.5086
271	272	valentine's	valentine's	7.36	1.3211
272	273	intelligent	intelligent	7.35	1.5504
273	274	liberation	liberation	7.35	1.3039
274	275	melody	melody	7.35	1.7742
275	276	wonderland	wonderland	7.35	1.64
276	277	beloved	beloved	7.34	1.2715
277	278	caring	caring	7.34	1.4086
278	279	homemade	homemade	7.34	1.239
279	280	inspiring	inspiring	7.34	1.1886
280	281	movies	movies	7.34	1.4514
281	282	precious	precious	7.34	1.5201
282	283	respect	respect	7.34	1.6113
283	284	satisfaction	satisfaction	7.34	1.1178
284	285	satisfy	satisfy	7.34	1.4373
285	286	wedding	wedding	7.34	1.5201
286	287	accomplished	accomplished	7.32	1.3005
287	288	adorable	adorable	7.32	1.6956
288	289	championship	championship	7.32	1.3619
289	290	comfortable	comfortable	7.32	1.0962
290	291	cuddle	cuddle	7.32	1.7313
291	292	games	games	7.32	1.2196
292	293	grandson	grandson	7.32	1.4769
293	294	life	life	7.32	1.6956
294	295	lovely	lovely	7.32	1.5444
295	296	pretty	pretty	7.32	1.6956
296	297	proud	proud	7.32	1.4348
297	298	rose	rose	7.32	1.463
298	299	united	united	7.32	1.2027
299	300	fruits	fruits	7.31	1.5303
300	301	adventure	adventure	7.3	1.4321
301	302	couple	couple	7.3	1.2657
302	303	dollars	dollars	7.3	1.4604
303	304	eating	eating	7.3	1.7757
304	305	fortune	fortune	7.3	1.3887
305	306	generous	generous	7.3	1.4743
306	307	golden	golden	7.3	1.3439
307	308	hahah	hahah	7.3	1.5419
308	309	hooray	hooray	7.3	2.0727
309	310	intelligence	intelligence	7.3	1.1995
310	311	lover	lover	7.3	1.9299
311	312	luxury	luxury	7.3	1.6812
312	313	money	money	7.3	1.8434
313	314	passion	passion	7.3	1.4743
314	315	prosperity	prosperity	7.3	1.5286
315	316	remarkable	remarkable	7.3	1.3286
316	317	sweetie	sweetie	7.3	1.1294
317	318	valentines	valentines	7.3	1.7757
318	319	educated	educated	7.29	1.307
319	320	gently	gently	7.29	1.2748
320	321	baby	baby	7.28	1.8521
321	322	books	books	7.28	1.3254
322	323	bride	bride	7.28	1.5391
323	324	cherished	cherished	7.28	1.5784
324	325	cookies	cookies	7.28	1.7028
325	326	dessert	dessert	7.28	1.7733
326	327	employed	employed	7.28	1.3559
327	328	glow	glow	7.28	1.2943
328	329	god	god	7.28	1.9277
329	330	great-grandchildren	great-grandchildren	7.28	1.7028
330	331	helped	helped	7.28	1.2943
331	332	independence	independence	7.28	1.5913
332	333	likes	likes	7.28	1.5391
333	334	luckily	luckily	7.28	1.6542
334	335	moon	moon	7.28	1.3708
335	336	perfectly	perfectly	7.28	1.5913
336	337	satisfied	satisfied	7.28	1.5258
337	338	sunday	sunday	7.28	1.9171
338	339	juicy	juicy	7.27	1.2037
339	340	championships	championships	7.26	1.3524
340	341	divine	divine	7.26	1.4115
341	342	dreaming	dreaming	7.26	1.2586
342	343	foods	foods	7.26	1.482
343	344	fresh	fresh	7.26	1.3219
344	345	gladly	gladly	7.26	1.1214
345	346	greatest	greatest	7.26	1.5228
346	347	hearts	hearts	7.26	1.6759
347	348	luck	luck	7.26	1.8824
348	349	millions	millions	7.26	1.5361
349	350	musicians	musicians	7.26	1.0461
350	351	play	play	7.26	1.2257
351	352	progress	progress	7.26	1.1572
352	353	savings	savings	7.26	1.2747
353	354	appreciation	appreciation	7.24	1.4653
354	355	bliss	bliss	7.24	1.7562
355	356	bloom	bloom	7.24	1.598
356	357	book	book	7.24	1.2048
357	358	child	child	7.24	1.5592
358	359	companion	companion	7.24	1.3786
359	360	computer	computer	7.24	1.3933
360	361	gardens	gardens	7.24	1.3486
361	362	gentle	gentle	7.24	0.9806
362	363	hahahah	hahahah	7.24	2.036
363	364	helpful	helpful	7.24	1.2382
364	365	impressed	impressed	7.24	1.0412
365	366	kind	kind	7.24	1.3933
366	367	knowledge	knowledge	7.24	1.4647
367	368	liberty	liberty	7.24	1.2707
368	369	mama	mama	7.24	1.7562
369	370	nature	nature	7.24	1.802
370	371	pal	pal	7.24	1.2707
371	372	passionate	passionate	7.24	1.0797
372	373	promoted	promoted	7.24	1.4923
373	374	reward	reward	7.24	1.8905
374	375	warmth	warmth	7.24	1.6483
375	376	xmas	xmas	7.24	2.105
376	377	danced	danced	7.22	1.2122
377	378	amazed	amazed	7.22	1.8658
378	379	appreciate	appreciate	7.22	1.183
379	380	brother	brother	7.22	1.2337
380	381	confidence	confidence	7.22	1.2824
381	382	darling	darling	7.22	1.3138
382	383	encouraging	encouraging	7.22	1.5556
383	384	energy	energy	7.22	1.2982
384	385	films	films	7.22	1.2824
385	386	garden	garden	7.22	1.183
386	387	graduated	graduated	7.22	1.2664
387	388	guitar	guitar	7.22	1.4748
388	389	health	health	7.22	1.2501
389	390	heart	heart	7.22	1.4327
390	391	honor	honor	7.22	1.2002
391	392	like	like	7.22	1.2171
392	393	musical	musical	7.22	1.5556
393	394	pets	pets	7.22	1.5292
394	395	relaxed	relaxed	7.22	1.0554
395	396	salary	salary	7.22	1.3445
396	397	star	star	7.22	1.5817
397	398	sweeter	sweeter	7.22	1.1119
398	399	trust	trust	7.22	1.2337
399	400	yummy	yummy	7.22	1.7876
400	401	ecstasy	ecstasy	7.2	1.7318
401	402	eternal	eternal	7.2	1.5272
402	403	approved	approved	7.2	1.4983
403	404	benefits	benefits	7.2	1.0498
404	405	cartoon	cartoon	7.2	1.4428
405	406	comforted	comforted	7.2	1.4428
406	407	cool	cool	7.2	1.3401
407	408	discount	discount	7.2	1.2936
408	409	good	good	7.2	1.4569
409	410	google	google	7.2	1.3093
410	411	ladies	ladies	7.2	1.4708
411	412	libraries	libraries	7.2	1.2454
412	413	luv	luv	7.2	1.8406
413	414	perfection	perfection	7.2	1.6288
414	415	presents	presents	7.2	1.4569
415	416	prizes	prizes	7.2	2.0304
416	417	special	special	7.2	1.1952
417	418	wishes	wishes	7.2	1.2122
418	419	alive	alive	7.18	1.2887
419	420	awards	awards	7.18	1.207
420	421	bed	bed	7.18	1.2887
421	422	best	best	7.18	1.6866
422	423	coffee	coffee	7.18	1.4803
423	424	comfy	comfy	7.18	1.2237
424	425	fiesta	fiesta	7.18	1.7692
425	426	genuine	genuine	7.18	1.3805
426	427	helping	helping	7.18	1.6374
427	428	imagine	imagine	7.18	1.1008
428	429	leisure	leisure	7.18	1.6986
429	430	meal	meal	7.18	1.4665
430	431	promise	promise	7.18	1.1899
431	432	respected	respected	7.18	1.024
432	433	rest	rest	7.18	1.2567
433	434	travel	travel	7.18	1.4241
434	435	abundant	abundant	7.16	1.6458
435	436	attracted	attracted	7.16	1.1669
436	437	devoted	devoted	7.16	1.3607
437	438	favourite	favourite	7.16	1.3607
438	439	granddaughter	granddaughter	7.16	1.6946
439	440	heroes	heroes	7.16	1.5696
440	441	ideas	ideas	7.16	1.2835
441	442	liked	liked	7.16	0.9116
442	443	oceans	oceans	7.16	1.6208
443	444	pizza	pizza	7.16	1.3303
444	445	skies	skies	7.16	1.3456
445	446	sleep	sleep	7.16	1.7066
446	447	spring	spring	7.16	1.4337
447	448	sunset	sunset	7.16	2.1127
448	449	welcome	welcome	7.16	1.3149
449	450	1st	1st	7.14	1.7025
450	451	adoring	adoring	7.14	1.6904
451	452	brighter	brighter	7.14	1.325
452	453	children's	children's	7.14	1.512
453	454	cure	cure	7.14	1.512
454	455	fireworks	fireworks	7.14	1.4848
455	456	home	home	7.14	1.8296
456	457	honored	honored	7.14	1.2779
457	458	journey	journey	7.14	1.512
458	459	lovin	lovin	7.14	1.9693
459	460	opportunity	opportunity	7.14	1.7144
460	461	paid	paid	7.14	1.7144
461	462	parks	parks	7.14	1.5651
462	463	playing	playing	7.14	1.4709
463	464	shine	shine	7.14	1.7144
464	465	strawberry	strawberry	7.14	1.4144
465	466	summertime	summertime	7.14	2.2224
466	467	wealthy	wealthy	7.14	1.7498
467	468	appreciated	appreciated	7.12	1.507
468	469	artistic	artistic	7.12	1.2395
469	470	birth	birth	7.12	1.6117
470	471	children	children	7.12	1.3498
471	472	fruit	fruit	7.12	1.5205
472	473	inspire	inspire	7.12	1.4797
473	474	juice	juice	7.12	1.0812
474	475	laptop	laptop	7.12	1.3498
475	476	partners	partners	7.12	1.4377
476	477	son	son	7.12	1.8142
477	478	stronger	stronger	7.12	1.0812
478	479	superman	superman	7.12	1.7219
479	480	tree	tree	7.12	1.3192
480	481	valuable	valuable	7.12	1.1183
481	482	woman's	woman's	7.12	1.3498
482	483	women	women	7.12	1.4658
483	484	glowing	glowing	7.1	1.4324
484	485	admiration	admiration	7.1	1.4604
485	486	carnival	carnival	7.1	1.7642
486	487	computers	computers	7.1	1.2817
487	488	confident	confident	7.1	1.1824
488	489	cookie	cookie	7.1	1.2976
489	490	cutie	cutie	7.1	1.3132
490	491	dearest	dearest	7.1	1.2817
491	492	dream	dream	7.1	1.9614
492	493	freely	freely	7.1	1.374
493	494	fridays	fridays	7.1	1.4604
494	495	plants	plants	7.1	1.2976
495	496	quality	quality	7.1	1.4178
496	497	rabbit	rabbit	7.1	1.2164
497	498	resort	resort	7.1	1.4463
498	499	shopping	shopping	7.1	1.5419
499	500	sincere	sincere	7.1	1.0351
500	501	snack	snack	7.1	1.5682
501	502	stars	stars	7.1	1.5419
502	503	toys	toys	7.1	1.6568
503	504	useful	useful	7.1	1.1995
504	505	wise	wise	7.1	1.2657
505	506	yum	yum	7.1	1.488
506	507	desirable	desirable	7.08	1.6563
507	508	sparkle	sparkle	7.08	1.6181
508	509	bless	bless	7.08	1.9675
509	510	comic	comic	7.08	1.5628
510	511	cooking	cooking	7.08	1.2911
511	512	dancing	dancing	7.08	1.6142
512	513	earned	earned	7.08	1.1753
513	514	equality	equality	7.08	1.8277
514	515	faith	faith	7.08	1.4405
515	516	graduate	graduate	7.08	1.2428
516	517	improvements	improvements	7.08	1.4119
517	518	memories	memories	7.08	1.1925
518	519	park	park	7.08	1.3529
519	520	pet	pet	7.08	1.7004
520	521	powerful	powerful	7.08	1.5365
521	522	princess	princess	7.08	1.5758
522	523	qualities	qualities	7.08	1.1578
523	524	thrill	thrill	7.08	1.5628
524	525	true	true	7.08	1.1036
525	526	wonder	wonder	7.08	1.3068
526	527	everlasting	everlasting	7.06	1.3906
527	528	mamma	mamma	7.06	1.7006
528	529	caress	caress	7.06	1.7192
529	530	charm	charm	7.06	1.4201
530	531	clever	clever	7.06	1.3463
531	532	father	father	7.06	1.7427
532	533	grand	grand	7.06	1.3614
533	534	hehehe	hehehe	7.06	1.6587
534	535	idea	idea	7.06	1.2843
535	536	pearl	pearl	7.06	1.4201
536	537	pictures	pictures	7.06	1.3157
537	538	restaurant	restaurant	7.06	1.2521
538	539	sandwich	sandwich	7.06	1.3763
539	540	sharing	sharing	7.06	1.2843
540	541	strong	strong	7.06	1.5174
541	542	talent	talent	7.06	0.9775
542	543	talented	talented	7.06	1.5308
543	544	tenderness	tenderness	7.06	1.2683
544	545	weddings	weddings	7.06	1.6587
545	546	dove	dove	7.04	1.4428
546	547	awsome	awsome	7.04	1.7952
547	548	cherry	cherry	7.04	1.4563
548	549	daughter	daughter	7.04	1.8066
549	550	eat	eat	7.04	1.4563
550	551	favorite	favorite	7.04	1.6532
551	552	girlfriend	girlfriend	7.04	1.6283
552	553	hoping	hoping	7.04	1.1421
553	554	impressive	impressive	7.04	1.0294
554	555	loyalty	loyalty	7.04	1.7723
555	556	parent	parent	7.04	1.293
556	557	relationship	relationship	7.04	1.293
557	558	safe	safe	7.04	1.6157
558	559	scholarship	scholarship	7.04	1.6532
559	560	shining	shining	7.04	1.7608
560	561	sunrise	sunrise	7.04	1.7952
561	562	yoga	yoga	7.04	1.5903
562	563	respects	respects	7.02	1.6176
563	564	fairy	fairy	7.02	1.4789
564	565	humanity	humanity	7.02	1.6265
565	566	productivity	productivity	7.02	1.3148
566	567	brave	brave	7.02	1.2856
567	568	colours	colours	7.02	1.3775
568	569	correct	correct	7.02	1.4913
569	570	dad	dad	7.02	2.1236
570	571	daddy	daddy	7.02	1.7201
571	572	dollar	dollar	7.02	1.5185
572	573	easily	easily	7.02	1.6349
573	574	fans	fans	7.02	1.2534
574	575	goal	goal	7.02	1.2204
575	576	hawaii	hawaii	7.02	1.6841
576	577	honestly	honestly	7.02	1.5713
577	578	inspiration	inspiration	7.02	1.4497
578	579	olympics	olympics	7.02	1.3476
579	580	saints	saints	7.02	1.7201
580	581	sleeping	sleeping	7.02	1.672
581	582	wisdom	wisdom	7.02	1.5583
582	583	believed	believed	7.0	1.2778
583	584	better	better	7.0	1.2778
584	585	color	color	7.0	1.3702
585	586	colors	colors	7.0	1.7496
586	587	dad's	dad's	7.0	1.3851
587	588	determination	determination	7.0	1.4142
588	589	discovered	discovered	7.0	1.2454
589	590	gentlemen	gentlemen	7.0	1.4289
590	591	girl	girl	7.0	1.1606
591	592	harmony	harmony	7.0	1.4434
592	593	hello	hello	7.0	1.5119
593	594	hopes	hopes	7.0	1.5518
594	595	noble	noble	7.0	1.6036
595	596	praised	praised	7.0	1.3851
596	597	reliable	reliable	7.0	1.4846
597	598	trip	trip	7.0	1.5518
598	599	agreed	agreed	6.98	1.3013
599	600	approval	approval	6.98	1.2036
600	601	brothers	brothers	6.98	1.4497
601	602	concerts	concerts	6.98	1.5451
602	603	cooperation	cooperation	6.98	1.3775
603	604	encouraged	encouraged	6.98	1.237
604	605	giving	giving	6.98	1.1516
605	606	goals	goals	6.98	1.2036
606	607	ideal	ideal	6.98	1.7082
607	608	intellectual	intellectual	6.98	1.2856
608	609	invitation	invitation	6.98	1.3323
609	610	marry	marry	6.98	1.868
610	611	musician	musician	6.98	1.237
611	612	outdoors	outdoors	6.98	1.6962
612	613	photography	photography	6.98	1.4913
613	614	plenty	plenty	6.98	1.2204
614	615	rome	rome	6.98	1.4213
615	616	trees	trees	6.98	1.5971
616	617	trips	trips	6.98	1.3169
617	618	unique	unique	6.98	1.4356
618	619	wildlife	wildlife	6.98	1.6841
619	620	lullaby	lullaby	6.98	1.931
620	621	thrills	thrills	6.98	1.3306
621	622	abroad	abroad	6.96	1.2282
622	623	bath	bath	6.96	1.261
623	624	benefit	benefit	6.96	1.3087
624	625	birds	birds	6.96	1.428
625	626	dads	dads	6.96	1.4702
626	627	elegant	elegant	6.96	1.9268
627	628	eternally	eternally	6.96	1.7138
628	629	fair	fair	6.96	1.261
629	630	fancy	fancy	6.96	1.3696
630	631	great-grandfather	great-grandfather	6.96	1.7257
631	632	imagination	imagination	6.96	1.3547
632	633	improving	improving	6.96	0.8797
633	634	mountains	mountains	6.96	1.1945
634	635	ocean	ocean	6.96	1.7138
635	636	pancakes	pancakes	6.96	1.2115
636	637	photograph	photograph	6.96	1.5644
637	638	praying	praying	6.96	1.7492
638	639	present	present	6.96	1.2771
639	640	reunion	reunion	6.96	1.6283
640	641	safely	safely	6.96	1.4563
641	642	saving	saving	6.96	1.261
642	643	singing	singing	6.96	1.7019
643	644	songs	songs	6.96	1.8731
644	645	sunny	sunny	6.96	2.0894
645	646	terrific	terrific	6.96	2.0796
646	647	theater	theater	6.96	1.5513
647	648	vanilla	vanilla	6.96	1.3395
648	649	adore	adore	6.96	1.8592
649	650	gentleman	gentleman	6.96	1.7254
650	651	autumn	autumn	6.94	1.5039
651	652	cinema	cinema	6.94	1.596
652	653	college	college	6.94	1.4201
653	654	concert	concert	6.94	1.2022
654	655	correctly	correctly	6.94	1.3311
655	656	cozy	cozy	6.94	1.4626
656	657	dear	dear	6.94	1.544
657	658	earning	earning	6.94	1.5308
658	659	earns	earns	6.94	1.0956
659	660	gardening	gardening	6.94	1.2683
660	661	girls	girls	6.94	1.4626
661	662	massage	massage	6.94	1.6587
662	663	outdoor	outdoor	6.94	1.2357
663	664	photos	photos	6.94	1.1678
664	665	piano	piano	6.94	1.2683
665	666	sea	sea	6.94	1.2843
666	667	trusted	trusted	6.94	1.5331
667	668	albums	albums	6.92	1.3223
668	669	dignity	dignity	6.92	1.1753
669	670	favored	favored	6.92	1.3529
670	671	fitness	fitness	6.92	1.7478
671	672	game	game	6.92	1.6015
672	673	healing	healing	6.92	1.3974
673	674	learned	learned	6.92	1.5232
674	675	learning	learning	6.92	1.3529
675	676	prayers	prayers	6.92	1.8499
676	677	promote	promote	6.92	1.066
677	678	secure	secure	6.92	1.2911
678	679	spa	spa	6.92	1.4824
679	680	unity	unity	6.92	1.7478
680	681	wish	wish	6.92	1.4961
681	682	youtube	youtube	6.92	1.5097
682	683	favour	favour	6.92	1.5253
683	684	clean	clean	6.9	1.8979
684	685	dynamic	dynamic	6.9	1.3132
685	686	encourage	encourage	6.9	1.6812
686	687	infant	infant	6.9	1.7642
687	688	jewelry	jewelry	6.9	1.5017
